Starting collecting data from https://romy.pythonanywhere.com/check/

--- Checking position 1 ---
https://romy.pythonanywhere.com/check/           ^
POS: 6 | CHAR: I | TIME: 1.8233694632848103
POS: 6 | CHAR: J | TIME: 1.8711367334638322
POS: 6 | CHAR: K | TIME: 1.86460542678833
POS: 6 | CHAR: L | TIME: 1.8340685069561005
POS: 6 | CHAR: M | TIME: 1.804378628730774
POS: 6 | CHAR: N | TIME: 1.8490326007207234
POS: 6 | CHAR: O | TIME: 1.8653562466303508
POS: 6 | CHAR: P | TIME: 1.8282258808612823
POS: 6 | CHAR: Q | TIME: 1.806100300380162
POS: 6 | CHAR: R | TIME: 1.7747075855731964
POS: 6 | CHAR: S | TIME: 1.817905068397522
POS: 6 | CHAR: T | TIME: 1.8577055931091309
POS: 6 | CHAR: U | TIME: 1.8386072431291853
POS: 6 | CHAR: V | TIME: 1.8338396889822823
POS: 6 | CHAR: W | TIME: 1.8311135292053222
POS: 6 | CHAR: X | TIME: 1.8220105171203613
POS: 6 | CHAR: Y | TIME: 1.8661764689854212
POS: 6 | CHAR: Z | TIME: 1.8730448087056477
POS: 6 | CHAR: 1 | TIME: 1.8591033816337585
POS: 6 | CHAR: 2 | TIME: 1.6731452260698592
POS: 6 | CHAR: 3 | TIME: 1.7998604476451874
POS: 6 | CHAR: 4 | TIME: 1.7212886810302734
POS: 6 | CHAR: 5 | TIME: 1.8094128131866456
POS: 6 | CHAR: 6 | TIME: 1.874674677848816
POS: 6 | CHAR: 7 | TIME: 1.6882641911506653
POS: 6 | CHAR: 8 | TIME: 1.8349781376974923
POS: 6 | CHAR: 9 | TIME: 1.8912666241327922
POS: 6 | CHAR: 0 | TIME: 1.8111397922039032

--- Checking position 7 ---
https://romy.pythonanywhere.com/check/     ^^^^^^^
POS: 7 | CHAR: a | TIME: 1.9853419462839763
POS: 7 | CHAR: b | TIME: 1.9799636602401733
POS: 7 | CHAR: c | TIME: 1.977965533733368
POS: 7 | CHAR: d | TIME: 1.9926722943782806
POS: 7 | CHAR: e | TIME: 1.9823793768882751
POS: 7 | CHAR: f | TIME: 1.9788378477096558
POS: 7 | CHAR: g | TIME: 1.9594845175743103
POS: 7 | CHAR: h | TIME: 2.0150621831417084
POS: 7 | CHAR: i | TIME: 1.9635055363178253
POS: 7 | CHAR: j | TIME: 1.9360909859339397
POS: 7 | CHAR: k | TIME: 1.8244202613830567
POS: 7 | CHAR: l | TIME: 1.9287502084459578
POS: 7 | CHAR: m | TIME: 1.8160785734653473
POS: 7 | CHAR: n | TIME: 2.0132316648960114
POS: 7 | CHAR: o | TIME: 2.0208091735839844
POS: 7 | CHAR: p | TIME: 1.9536080757776897
POS: 7 | CHAR: q | TIME: 1.8841573397318523
POS: 7 | CHAR: r | TIME: 1.9951255662100655
POS: 7 | CHAR: s | TIME: 1.9441753327846527
POS: 7 | CHAR: t | TIME: 1.9281085899897985
POS: 7 | CHAR: u | TIME: 1.9716791212558746
POS: 7 | CHAR: v | TIME: 1.982171614964803
POS: 7 | CHAR: w | TIME: 2.0028325080871583
POS: 7 | CHAR: x | TIME: 1.924688994884491
POS: 7 | CHAR: y | TIME: 1.9425296485424042
POS: 7 | CHAR: z | TIME: 1.8253222306569417
POS: 7 | CHAR: A | TIME: 1.9644261300563812
POS: 7 | CHAR: B | TIME: 2.0004578828811646
POS: 7 | CHAR: C | TIME: 1.9825865626335144
POS: 7 | CHAR: D | TIME: 1.9832544326782227
POS: 7 | CHAR: E | TIME: 1.9708418250083923
POS: 7 | CHAR: F | TIME: 1.9569552625928606
POS: 7 | CHAR: G | TIME: 1.978031873703003
